user_id,company_id,email,signup_date,last_login
u001,comp001,alice@acme.com,2023-06-01,2024-04-14
u002,comp001,bob@acme.com,2023-06-01,2024-04-12
u003,comp002,carol@techcorp.com,2023-08-15,2024-03-10
u004,comp002,dave@techcorp.com,2023-08-15,2024-04-13
u005,comp003,eve@startup.io,2023-09-01,2024-02-28
u006,comp003,frank@startup.io,2023-09-01,2024-04-10
u007,comp004,grace@bigco.com,2023-10-01,2024-04-15
u008,comp004,henry@bigco.com,2023-10-01,2024-03-05
u009,comp004,iris@bigco.com,2023-10-01,2024-04-08
u010,comp005,jack@small.biz,2024-01-15,2024-04-11
u011,comp005,kate@small.biz,2024-01-15,
u012,comp006,leo@medco.com,2024-02-01,2024-03-12
u013,comp006,mary@medco.com,2024-02-01,2024-04-14
u014,comp007,nick@newbie.com,2024-03-01,2024-04-09
u015,comp007,olivia@newbie.com,2024-03-01,2024-02-15
u016,comp008,paul@oldco.com,2023-05-01,2024-01-20
u017,comp008,quinn@oldco.com,2023-05-01,2024-03-01
u018,comp009,rachel@growth.co,2023-12-01,2024-04-13
u019,comp009,steve@growth.co,2023-12-01,2024-04-10
u020,comp010,tina@enterprise.org,2023-07-01,2024-04-14
